EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
BSI STANDARDS LIMITED,"389 Chiswick High Road,
London,
United Kingdom,
W4 4AL",7864997,96090,16.6,8.5,11.3,54.5,52.4,45.1,27.3,72.7,38.2,61.8,50.7,49.3,52.6,47.4,https://www.bsigroup.com/en-GB/about-bsi/careers/gender-pay-gap/,Angela Paradise (Group HR Director),250 to 499,BSI STANDARDS LIMITED,FALSE
BT FACILITIES SERVICES LIMITED,"81 Newgate Street,
London,
United Kingdom,
EC1A 7AJ",4054291,82990,15.7,18.9,2.5,0,38,23.6,46,54,56.4,43.6,86.6,13.4,79.1,20.9,,Michael Mohun (Company Secretary Assistant),1000 to 4999,BT FACILITIES SERVICES LIMITED,FALSE
BT FLEET LIMITED,"81 Newgate Street,
London,
United Kingdom,
EC1A 7AJ",4383521,45200,-0.9,4.6,-21.9,34.7,87.8,45.2,80.1,19.9,87.5,12.5,88.4,11.6,87,13,,Michael Mohun (Company Secretary Assistant),500 to 999,BT FLEET LIMITED,FALSE
BT SOUTH TYNESIDE LIMITED,"81 Newgate Street,
London,
United Kingdom,
EC1A 7AJ",6656934,61900,19.5,25.3,-1474,-166.7,4.8,3,25.8,74.2,17.7,82.3,29,71,61.3,38.7,,Michael Mohun (Company Secretary Assistant),250 to 499,BT SOUTH TYNESIDE LIMITED,FALSE
BTG PLC,"5 Fleet Place,
London,
United Kingdom,
EC4M 7RD",2670500,72190,24.8,16,32.9,48.5,75.7,76.1,49,51,50,50,49,51,70,30,https://btgplc.com/en-GB/About-BTG/Responsibility/Social-Responsibility,Louis Makin (Chief Executive Officer),250 to 499,BTG PLC,FALSE
BUCK CONSULTANTS LIMITED,"160 Queen Victoria Street,
London,
United Kingdom,
EC4V 4AN",1615055,64209,26.4,20.3,-9.2,-13.5,26,13.9,40.7,59.3,45,55,65,35,68.1,31.9,https://buck.com/wp-content/uploads/2019/04/Gender-Pay-Gap-Report-April-2018-.pdf,Michael Davidson (CHRO),500 to 999,BUCK CONSULTANTS LIMITED,FALSE
BÜHLER UK LIMITED,"20 Atlantis Avenue,
London,
E16 2BF",434274,28990,27.9,22.2,29.9,4,83.2,88.1,78.8,21.2,81.3,18.7,82.5,17.5,84,16,http://www.buhlergroup.com/global/en/about-buehler/worldwide/buehler-united-kingdom-and-republic-of-ireland.htm#.WsXkh-SWy70,Grahame Gibson (Head of Human Resources),250 to 499,BÜHLER UK LIMITED,FALSE
BUILDER DEPOT LIMITED,"Citroen Wells,
Devonshire House,
1 Devonshire Street,
London,
United Kingdom,
W1W 5DR",4287341,46730,0.4,-0.9,-18,0,75,66.2,81.1,18.9,86.5,13.5,75.8,24.2,85.4,14.6,http://www.builderdepot.co.uk/gender_pay_gap_report_2018,Michael Aaronson (Managing Director),250 to 499,BUILDER DEPOT LIMITED,FALSE
BUNZL RETAIL & HEALTHCARE SUPPLIES LIMITED,"York House,
45 Seymour Street,
London,
United Kingdom,
W1H 7JT",62537,46900,5.9,-4.4,25.4,-66.7,80.8,81.8,61.4,38.6,62.7,37.3,70.9,29.1,64.2,35.8,https://www.bunzl.com/responsibility/gender-pay-reporting.aspx,"Andrew Tedbury (Managing Director, Bunzl UK & Ireland)",1000 to 4999,BUNZL RETAIL & HEALTHCARE SUPPLIES LIMITED,FALSE
BUNZL UK LIMITED,"York House,
45 Seymour Street,
London,
United Kingdom,
W1H 7JT",2902454,46900,18.6,-9.2,32.3,-33.3,70.3,70,68.8,31.2,59.3,40.7,70.3,29.7,78.5,21.5,https://www.bunzl.com/responsibility/gender-pay-reporting.aspx,"Andrew Tedbury (Managing Director, Bunzl UK & Ireland)",1000 to 4999,BUNZL UK LIMITED,FALSE
BUPA CARE HOMES (AKW) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",4122364,96090,6.8,1.1,-41.1,0,5.5,6.8,16.6,83.4,27.6,72.4,20.6,79.4,28.2,71.8,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),500 to 999,BUPA CARE HOMES (AKW) LIMITED,FALSE
BUPA CARE HOMES (ANS) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",1960990,96090,0.7,2.6,-4.7,49.6,9.3,9.2,15.3,84.7,17.4,82.6,20,80,20.4,79.6,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),1000 to 4999,BUPA CARE HOMES (ANS) LIMITED,FALSE
BUPA CARE HOMES (BNH) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",2079932,96090,-1.2,5.1,-84.9,-181.9,4.9,6.9,12.4,87.6,17.9,82.1,23.9,76.1,17.9,82.1,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),1000 to 4999,BUPA CARE HOMES (BNH) LIMITED,FALSE
BUPA CARE HOMES (CFCHOMES) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",2006738,86900,2.2,0.6,-31.8,-17.5,15.5,18.3,18.2,81.8,17.7,82.3,17.9,82.1,20,80,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),1000 to 4999,BUPA CARE HOMES (CFCHOMES) LIMITED,FALSE
BUPA CARE HOMES (CFHCARE) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",2741070,86900,14.2,14.8,34.4,18.3,29.9,23.3,16.7,83.3,13.4,86.6,20.5,79.5,25.2,74.8,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),500 to 999,BUPA CARE HOMES (CFHCARE) LIMITED,FALSE
BUPA CARE HOMES (GL) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",1587972,86900,-3.6,-1.4,-122.5,-49.4,3.9,4.8,17.6,82.4,20.4,79.6,16.3,83.7,13.4,86.6,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),500 to 999,BUPA CARE HOMES (GL) LIMITED,FALSE
BUPA CARE HOMES (PARTNERSHIPS) LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",2216429,"86210,
86900",-0.2,1.5,-604,-87.4,2.2,4.2,6.6,93.4,9.4,90.6,12.3,87.7,7.5,92.5,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),250 to 499,BUPA CARE HOMES (PARTNERSHIPS) LIMITED,FALSE
BUPA INSURANCE SERVICES LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",3829851,82990,17.5,6,52,9,90.5,91,38.5,61.5,36,64,37.3,62.7,47.8,52.2,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),1000 to 4999,BUPA INSURANCE SERVICES LIMITED,FALSE
BUPA OCCUPATIONAL HEALTH LIMITED,"1 Angel Court,
London,
United Kingdom,
EC2R 7HJ",631336,86900,17.7,15.8,43.1,20,84,85.9,15.2,84.8,26.6,73.4,21.8,78.2,30.6,69.4,https://www.bupa.com/genderpaygap,Nigel Sullivan (Chief People Officer),250 to 499,BUPA OCCUPATIONAL HEALTH LIMITED,FALSE
BURBERRY LIMITED,"Horseferry House,
Horseferry Road,
London,
United Kingdom,
SW1P 2AW",162636,"13921,
14132,
46420,
47710",24.7,8.7,61.8,34,74.2,78.5,22.7,77.3,39.5,60.5,31.8,68.2,42.8,57.2,https://www.burberryplc.com/content/dam/burberry/corporate/Responsibility/Performance/Docs/Burberry%20Gender%20Pay%20Gap%20Report%202017-18.pdf,Erica Bourne (Chief Human Resources Officer),1000 to 4999,BURBERRY LIMITED,FALSE
BURGER & LOBSTER RESTAURANT GROUP LIMITED,"37-41 Bedford Row,
London,
United Kingdom,
WC1R 4JH",8332271,64209,7,0,23.7,40,9,9.7,61.5,38.5,72.1,27.9,72.1,27.9,67.2,32.8,,Alexander Sheekey (Senior HR Business Partner),250 to 499,BURGER & LOBSTER RESTAURANT GROUP LIMITED,FALSE
BUSABA EATHAI LIMITED,"2nd Floor 42-48 Great Portland Street,
London,
United Kingdom,
W1W 7NB",4956194,56101,-4,-3,44,16,2.8,1.5,87,13,64,36,64,36,63,37,,Jenny Aspray (Head of People),250 to 499,BUSABA EATHAI LIMITED,FALSE
Business In The Community,"137 Shepherdess Walk,
London,
United Kingdom,
N1 7RQ",1619253,94110,0.3,0.7,0,0,0,0,26,74,26,74,27,73,27,73,https://www.bitc.org.uk/resources-training/resources/research/gender-pay-gap-report-2018,Sandra Knowles (Director of People and Culture),250 to 499,Business In The Community,FALSE
BUTTERWORTHS LIMITED,"Lexis House,
30 Farringdon Street,
London,
United Kingdom,
EC4A 4HH",2826955,62090,16.5,14.8,65.9,84.3,81.7,72.8,44.6,55.4,42.6,57.4,55.9,44.1,57.3,42.7,http://www.lexisnexis.co.uk/pdf/2018-gender-pay-gap-report-for-butterworths-limited.pdf,Alyce Clark (EVP Human Resources),1000 to 4999,BUTTERWORTHS LIMITED,FALSE
Buzzacott LLP,"130 Wood Street,
London,
United Kingdom,
EC2V 6DL",OC329687,,10.9,26.2,7,-35.4,40,37.6,45,55,39,61,51,49,58,42,https://www.buzzacott.co.uk/uploads/gender-pay-gap-report-2018.pdf,Tony Hopson (Managing Partner),250 to 499,Buzzacott LLP,FALSE
BYRNE BROS. (FORMWORK) LIMITED,"53 Great Suffolk Street,
London,
England,
SE1 0DB",1179102,41201,25,10,74,21,55,73,83,17,84,16,81,19,95,5,,Paul Salmon (Managing Director),250 to 499,BYRNE BROS. (FORMWORK) LIMITED,FALSE
BYRON HAMBURGERS LIMITED,"1st Floor 14-15 Berners Street,
London,
United Kingdom,
W1T 3LJ",7228130,56101,3.1,4.7,-113.1,-527.7,48.8,66.4,56.2,43.8,62,38,70.2,29.8,64.8,35.2,https://www.byronhamburgers.com/privacy,Rebecca Cain (Head of People),1000 to 4999,BYRON HAMBURGERS LIMITED,FALSE
BYWATERS (LEYTON) LIMITED,"Lea Riverside,
Twelvetrees Crescent,
Bow,
London,
United Kingdom,
E3 3JG",505212,38320,-23,-18,-3.5,16,21,34,91,9,85,15,84,16,66,34,https://www.bywaters.co.uk/about-us/acting-responsibly.html,Amanda Brown (Deputy Managing Director),250 to 499,BYWATERS (LEYTON) LIMITED,FALSE
C & W (U.K.) LLP,"125 Old Broad Street,
London,
England,
EC2N 1AR",OC328588,,38.5,33.6,70.2,40.5,76.9,76.7,34.5,65.5,46.2,53.8,49.2,50.8,79.3,20.7,http://www.cushmanwakefield.co.uk/en-gb/news/2019/03/gender-pay-gap,George Roberts (Head of UK & Ireland),500 to 999,C & W (U.K.) LLP,FALSE
C. Hoare & Co.,"37 Fleet Street,
London,
United Kingdom,
EC4P 4DQ",240822,64191,24.3,22.6,36,32.4,83.9,82.5,49,51,52,48,56,44,72,28,https://www.hoaresbank.co.uk/about-us,Allan Fielder (Head of Business Services),250 to 499,C. Hoare & Co.,FALSE
C.E.X. LIMITED,"Sterling House,
Fulbourne Road,
London,
United Kingdom,
E17 4EE",3194152,62090,11,3.8,59.4,20.2,84.4,84.3,60,40,71.3,28.7,74,26,78.5,21.5,https://uk.webuy.com/site/gpg/,Sukhwinder Sehra (HR Manager),1000 to 4999,C.E.X. LIMITED,FALSE
CABANA RESTAURANTS LIMITED,"8 Lancashire Court,
London,
United Kingdom,
W1S 1EY",7627429,56101,14,2.1,17.9,16.7,15.6,10.8,29.5,70.5,56.5,43.5,59.7,40.3,73.8,26.2,,Hannah Williams (HR Manager),250 to 499,CABANA RESTAURANTS LIMITED,FALSE
CABLE NEWS INTERNATIONAL LIMITED,"16 Great Marlborough Street,
London,
W1F 7HS",5001368,59113,-7.9,21.7,38.7,56.3,91,97,50,50,38,62,67,33,73,27,https://www.turner.com/s3fs-public/TurnerUKGenderPayGapReportApril2018.pdf?null,Eleanor Browne (Vice President Legal),250 to 499,CABLE NEWS INTERNATIONAL LIMITED,FALSE
CACI LIMITED,"Caci House Kensington Village,
Avonmore Road,
London,
United Kingdom,
W14 8TS",1649776,"58290,
62020,
63110,
73200",21,27,43,10,39,44,59,41,70,30,85,15,81,19,https://www.caci.co.uk/sites/default/files/resources/Signed%20Gender%20Pay%20Report%20_0.pdf,Gregory Bradford (Chief Executive),500 to 999,CACI LIMITED,FALSE
Cafcass,"3rd Floor,
21 Bloomsbury Street,
London,
WC1B 3HF",,1,2,0,0.6,0,1.4,1.9,18.3,81.7,15,85,15.8,84.2,20.7,79.3,https://www.cafcass.gov.uk/about-cafcass/transparency-information/,,1000 to 4999,Cafcass,FALSE
CAFE ROYAL MANAGEMENT LIMITED,"68 Regent Street,
London,
W1B 4DY",7791054,"55100,
56101,
56301",-19.6,11.2,4.5,-291.7,14.9,26.3,36,64,53,47,53,47,58,42,,Guillaume Marly (Managing Director),250 to 499,CAFE ROYAL MANAGEMENT LIMITED,FALSE
CAFFE CONCERTO PAYE LIMITED,"29 - 31,
Piccadilly,
London,
W1J 0LF",7962456,78300,-5.5,-6.3,-13.6,-25.7,51.2,60.1,33.9,66.1,58.3,41.7,52.2,47.8,74.8,25.2,http://www.caffeconcerto.co.uk,Tariq Hassan (Accountant),250 to 499,CAFFE CONCERTO PAYE LIMITED,FALSE
CAFFE NERO GROUP HOLDINGS LTD,"9-15 Neal Street,
London,
England,
WC2H 9QL",5936386,70100,10.9,2,20.9,28.8,34.5,32.8,33.3,66.7,34.8,65.2,35.3,64.7,39.8,60.2,https://caffenero.com/uk/caffe-nero-gender-pay-report/,Stacy Schapira (UK HR Director),"5000 to 19,999",CAFFE NERO GROUP HOLDINGS LTD,FALSE
CALIBRE RECRUITMENT LIMITED,"11 Charing Cross Road,
City Of Westminster,
London,
United Kingdom,
WC2H 0QU",3604158,78200,-13.1,0,0,0,0,0,39.9,60.1,39.6,60.4,40.6,59.4,41.4,58.6,http://www.calibreinternational.co.uk/gender_pay_gap.html,Linda Prado (Director of Operations),500 to 999,CALIBRE RECRUITMENT LIMITED,FALSE
CAMBIAN ASPERGER SYNDROME SERVICES LIMITED,"4th Floor, Waterfront, Manbre Wharf,
Manbre Road,
Hammersmith,
England,
W6 9RH",4117476,96090,12,4.3,-60.7,-350,3.3,1.6,22.1,77.9,24.4,75.6,23.3,76.7,36.1,63.9,https://www.cambiangroup.com/governance/,Nasir Quraishi (Group HR Director),250 to 499,CAMBIAN ASPERGER SYNDROME SERVICES LIMITED,FALSE
CAMBIAN AUTISM SERVICES LIMITED,"4th Floor, Waterfront, Manbre Wharf,
Manbre Road,
Hammersmith,
England,
W6 9RH",3449214,85590,1.4,3,-23.4,-2.3,1.7,2.2,28.9,71.1,34.1,65.9,37,63,31.3,68.7,https://www.cambiangroup.com/governance/,Nasir Quraishi (Group HR Director),500 to 999,CAMBIAN AUTISM SERVICES LIMITED,FALSE
CAMBIAN CHILDCARE LIMITED,"4th Floor, Waterfront, Manbre Wharf,
Manbre Road,
Hammersmith,
England,
W6 9RH",4280519,87900,1.9,2.3,30.6,-33.3,14.6,13.5,28,72,28.7,71.3,32.4,67.6,32,68,https://www.cambiangroup.com/governance/,Nasir Quraishi (Group HR Director),1000 to 4999,CAMBIAN CHILDCARE LIMITED,FALSE
CAMBIAN WHINFELL SCHOOL LIMITED,"4th Floor, Waterfront, Manbre Wharf,
Manbre Road,
Hammersmith,
England,
W6 9RH",4617562,85590,8.2,5,-10.3,0,10.9,7.5,19.7,80.3,35,65,40.4,59.6,29.3,70.7,https://www.cambiangroup.com/governance/,Nasir Quraishi (Group HR Director),500 to 999,CAMBIAN WHINFELL SCHOOL LIMITED,FALSE
Camden and Islington NHS Foundation Trust,"4 St Pancras Way,
London,
London,
United Kingdom,
NW1 0PE",,"1,
86210",14.4,10.1,49.2,-3.6,3.1,0.8,26.6,73.4,23.8,76.2,26.5,73.5,39.1,60.9,https://www.candi.nhs.uk/about-us/equality-diversity-and-human-rights,,1000 to 4999,Camden and Islington NHS Foundation Trust,FALSE
CAMERON FLOW CONTROL TECHNOLOGY (UK) LIMITED,"100 New Bridge Street,
London,
United Kingdom,
EC4V 6JA",8379585,28990,37.1,35,60,75.8,79.1,31,69.1,30.9,82.7,17.3,96.9,3.1,94.8,5.2,https://www.slb.com/about/guiding_principles/diversity.aspx,"Michael Smart (Surface Sales & Commercial Mgr, Eastern Hemisphere)",250 to 499,CAMERON FLOW CONTROL TECHNOLOGY (UK) LIMITED,FALSE
CAN (OFFSHORE) LIMITED,"St Brides House,
10 Salisbury Square,
London,
United Kingdom,
EC4Y 8EH",2015401,"9100,
42990,
74909",33,36,83,37,11,28,51.5,48.5,76.5,23.5,94.9,5.1,94.9,5.1,http://www.cangroup.net,Rachael Baillie (finance Controller),250 to 499,CAN (OFFSHORE) LIMITED,FALSE
CANARY WHARF CONTRACTORS LIMITED,"One Canada Square,
Canary Wharf,
London,
United Kingdom,
E14 5AB",2352250,41201,39.6,44.2,58.6,41.7,93,91,55,45,78,22,95,5,94,6,https://group.canarywharf.com/wp-content/uploads/sites/2/2019/03/canary-wharf-group-gender-pay-gap-report-2019.pdf,Camille Waxer (Managing Director - Retail & Chief Administrative Officer),250 to 499,CANARY WHARF CONTRACTORS LIMITED,FALSE
CANARY WHARF GROUP PLC,"One Canada Square, Canary Wharf,
London,
E14 5AB",4191122,82990,23.8,6.5,46.9,8.7,91,91,78,22,71,29,71,29,85,15,https://group.canarywharf.com/wp-content/uploads/sites/2/2019/03/canary-wharf-group-gender-pay-gap-report-2019.pdf,Camille Waxer (Managing Director - Retail & Chief Administrative Officer),1000 to 4999,CANARY WHARF GROUP PLC,FALSE
CANARY WHARF MANAGEMENT LIMITED,"One Canada Square,
Canary Wharf,
London,
United Kingdom,
E14 5AB",2067510,68320,2.6,-6.1,16,7.5,90,88,87,13,86,14,82,18,82,18,https://group.canarywharf.com/wp-content/uploads/sites/2/2019/03/canary-wharf-group-gender-pay-gap-report-2019.pdf,Camille Waxer (Managing Director - Retail & Chief Administrative Officer),500 to 999,CANARY WHARF MANAGEMENT LIMITED,FALSE
Cancer Research UK,"Angel Building,
407 St. John Street,
London,
United Kingdom,
EC1V 4AD",4325234,86900,17.8,21.3,30.9,18.8,20.4,26.5,20,80,21,79,21,79,33,67,https://www.cancerresearchuk.org/about-us/our-organisation/equality-diversity-and-inclusion/news-and-events/gender-pay-gap-report-2018,Michelle Mitchell (Chief Executive Officer),1000 to 4999,Cancer Research UK,FALSE
CANON EUROPE LIMITED,"3 The Square,
Stockley Park,
Uxbridge,
United Kingdom,
UB11 1ET",4093977,27900,38,32.2,59.2,40.5,92.2,96.3,37.8,62.2,63.3,36.7,71.8,28.2,89.4,10.6,https://www.canon-europe.com/about_us/corporate-information/gender-pay-gap-report/,Yuichi Ishizuka (President & CEO),500 to 999,CANON EUROPE LIMITED,FALSE
CANOPIUS SERVICES LIMITED,"Gallery 9 One Lime Street,
London,
United Kingdom,
EC3M 7HA",2733994,96090,29.9,31.6,64.3,56.9,82.6,82,54,46,44,56,69,31,83,17,,Michael Duffy (CEO),250 to 499,CANOPIUS SERVICES LIMITED,FALSE
Capel Manor College,"Bullsmoor Lane,
Enfield,
EN1 4RQ",,"1,
85310",12,12,NA,NA,0,0,31.8,68.2,21.2,78.8,28.2,71.8,42.4,57.6,https://www.capel.ac.uk/information-about-capel-manor-college.html,,250 to 499,Capel Manor College,FALSE
CAPITA BIRMINGHAM LIMITED,"71 Victoria Street,
London,
SW1H 0XA",5660977,96090,1.3,-1.7,73.3,51.7,8.4,9.1,82.7,17.3,80,20,80,20,81.6,18.4,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,CAPITA BIRMINGHAM LIMITED,FALSE
CAPITA BUSINESS SERVICES LTD,"30 Berners Street,
London,
England,
W1T 3LR",2299747,62020,31.8,24,67.6,66.8,22.3,23.2,42.7,57.3,45.6,54.4,46.8,53.2,74.8,25.2,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),"5000 to 19,999",CAPITA BUSINESS SERVICES LTD,FALSE
CAPITA COMMERCIAL INSURANCE SERVICES LIMITED,"30, Berners Street,
London,
United Kingdom,
W1T 3LR",2845397,"65120,
66290",-1.1,-6.2,27.3,69.9,10.8,14.5,56.8,43.2,51.4,48.6,52.5,47.5,48.3,51.7,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,CAPITA COMMERCIAL INSURANCE SERVICES LIMITED,FALSE
CAPITA CUSTOMER MANAGEMENT LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",1336850,"63110,
64999",10.4,2.7,47.6,52.6,33.3,28.1,42.1,57.9,40.4,59.6,44.9,55.1,52.9,47.1,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),"5000 to 19,999",CAPITA CUSTOMER MANAGEMENT LIMITED,FALSE
CAPITA EMPLOYEE BENEFITS (CONSULTING) LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",1860772,64999,37.7,45.2,15.2,33.3,19.5,19.1,29.8,70.2,54.2,45.8,63.1,36.9,86.9,13.1,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,CAPITA EMPLOYEE BENEFITS (CONSULTING) LIMITED,FALSE
CAPITA EMPLOYEE BENEFITS LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",2260524,"65300,
66190,
66290",20.8,11.2,43,0,14.1,10.2,44,56,52.3,47.7,52.6,47.4,68.7,31.3,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),1000 to 4999,CAPITA EMPLOYEE BENEFITS LIMITED,FALSE
CAPITA INSURANCE SERVICES LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",1396443,82990,12,6.1,24.5,40.7,16.4,18,50.7,49.3,35.6,64.4,46.6,53.4,59.9,40.1,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),500 to 999,CAPITA INSURANCE SERVICES LIMITED,FALSE
CAPITA LIFE & PENSIONS REGULATED SERVICES LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",2424853,64999,16.1,13.1,77,0,18.6,17.9,37.7,62.3,30.8,69.2,34,66,51.4,48.6,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),1000 to 4999,CAPITA LIFE & PENSIONS REGULATED SERVICES LIMITED,FALSE
CAPITA LIFE & PENSIONS SERVICES LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",4359665,65110,27.2,30.1,69.9,97.5,26.7,25.2,39.1,60.9,39.7,60.3,50,50,72.4,27.6,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,CAPITA LIFE & PENSIONS SERVICES LIMITED,FALSE
Capita PLC,"30 Berners Street,
London,
United Kingdom,
W1T 3LR",2081330,"58290,
70229,
82990",36.9,36.3,34.4,36.8,62.8,52.7,41.9,58.1,37.5,62.5,55.8,44.2,67.6,32.4,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,Capita PLC,FALSE
CAPITA PROPERTY AND INFRASTRUCTURE LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",2018542,71129,27,25.4,55,91.7,11.8,12.3,59,41,65,35,75,25,89,11,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),1000 to 4999,CAPITA PROPERTY AND INFRASTRUCTURE LIMITED,FALSE
CAPITA RESOURCING LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",3949686,78200,28.5,46.7,52.8,46.7,12.8,28.8,42.9,57.1,61.1,38.9,80.8,19.2,77.3,22.7,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),1000 to 4999,CAPITA RESOURCING LIMITED,FALSE
CAPITA RETAIL FINANCIAL SERVICES LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",5296886,66190,-3.3,-0.3,62,-2,5,8,53.3,46.7,62.4,37.6,62.6,37.4,50,50,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),500 to 999,CAPITA RETAIL FINANCIAL SERVICES LIMITED,FALSE
CAPITA SECURE INFORMATION SOLUTIONS LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",1593831,"26301,
26400,
62090,
82990",17.7,16.4,57.9,59.1,18.2,19.1,75.1,24.9,74.7,25.3,82.9,17.1,91.1,8.9,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),1000 to 4999,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,FALSE
CAPITA SOUTHAMPTON LIMITED,"30, Berners Street,
London,
England,
W1T 3LR",10207906,96090,22,9.9,81.7,87,16.7,19.9,27.3,72.7,35.1,64.9,35.7,64.3,63.2,36.8,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),250 to 499,CAPITA SOUTHAMPTON LIMITED,FALSE
CAPITA TRAVEL AND EVENTS LIMITED,"30 Berners Street,
London,
England,
W1T 3LR",1094729,79110,32.9,27.4,20.2,37.3,33.3,26.2,19.1,80.9,20.5,79.5,28.9,71.1,54.1,45.9,https://www.capita.com/media/3760/gender-pay-gap-report.pdf,Will Serle (Chief People Officer),500 to 999,CAPITA TRAVEL AND EVENTS LIMITED,FALSE
CAPITAL ARCHES GROUP LIMITED,"112 High Holborn,
London,
England,
WC1V 6JS",10139149,56102,4.2,1.9,23.7,32.1,14.9,12.9,52,48,42.8,57.2,57.5,42.5,57.4,42.6,,Claude Abi-Gerges (Director),1000 to 4999,CAPITAL ARCHES GROUP LIMITED,FALSE
Capital City College Group,"Longford Street,
London,
W1F 0HS",,1,9.9,11.1,-24.3,30.8,0.5,0.8,27.7,72.3,35.5,64.5,42.4,57.6,45.1,54.9,,,1000 to 4999,Capital City College Group,TRUE
CAPITAL HILL HOTELS GROUP LONDON LIMITED,"50 Berners Street,
London,
England,
W1T 3NG",3462675,55100,3.1,1,-33.1,-34.3,40,30,62.8,37.2,53.1,46.9,53.6,46.4,64.5,35.5,https://www.morganshotelgroup.com/page/policies#genderpay,Ralf Albus (Regional Finance Director),250 to 499,CAPITAL HILL HOTELS GROUP LONDON LIMITED,FALSE
CAPRICE HOLDINGS LIMITED,"ALAN WONG,
26-28 Conway Street,
London,
England,
W1T 6BQ",1661349,56101,-0.9,-0.9,32,-1.5,35.9,30.9,69,31,74,26,59,41,67,33,,Joanne Bolding (HR Manager),500 to 999,CAPRICE HOLDINGS LIMITED,FALSE
CAPSTICKS SOLICITORS LLP,"One St. Georges Road, Wimbldon,
London,
SW19 4DR",OC340360,,21.6,10.2,35.6,32.7,59.4,44,25.7,74.3,24.3,75.7,29.9,70.1,44.9,55.1,,Katherine Hallam (HR Director),250 to 499,CAPSTICKS SOLICITORS LLP,FALSE
CAR GIANT LIMITED,"44 Hythe Road,
London,
United Kingdom,
NW10 6RS",1407612,45112,10.3,11.6,51.8,-2,98.7,100,90.1,9.9,90,10,92.7,7.3,94,6,https://www.cargiant.co.uk/media/3104/cargiant-gender-pay-report.pdf,Michael Holahan (Managing Director),500 to 999,CAR GIANT LIMITED,FALSE
